id_cie	cod	descrip
2087	E24	Sindrome de cushing
2088	E240	Enfermedad de cushing dependiente de la hipofisis
2089	E241	Sindrome de nelson
2090	E242	Sindrome de cushing inducido por drogas
2091	E243	Sindrome de acth ectopico
2092	E244	Sindrome de seudo
2093	E248	Otros tipos de sindrome de cushing
2094	E249	Sindrome de cushing, no especificado
2095	E25	Trastornos adrenogenitales
2096	E250	Trastornos adrenogenitales congenitos con deficiencia enzimatica
2097	E258	Otros trastornos adrenogenitales
2098	E259	Trastorno adrenogenital, no especificado
2099	E26	Hiperaldosteronismo
2100	E260	Hiperaldosteronismo primario
2101	E261	Hiperaldosteronismo secundario
2102	E268	Otros tipos de hiperaldosteronismo
2103	E269	Hiperaldosteronismo, no especificado
2104	E27	Otros trastornos de la glandula suprarrenal
2105	E270	Otra hiperactividad corticosuprarrenal
2106	E271	Insuficiencia corticosuprarrenal primaria
2107	E272	Crisis addisoniana
2108	E273	Insuficiencia corticosuprarrenal inducida por drogas
2109	E274	Otras insuficiencias corticosuprarrenales y las no especificadas
2110	E275	Hiperfuncion de la medula suprarrenal
2111	E278	Otros trastornos especificados de la glandula suprarrenal
2112	E279	Trastorno de la glandula suprarrenal, no especificado
2113	E28	Disfuncion ovarica
2114	E280	Exceso de estrogenos
2115	E281	Exceso de androgenos
2116	E282	Sindrome de ovario poliquistico
2117	E283	Insuficiencia ovarica primaria
2118	E288	Otras disfunciones ovaricas
2119	E289	Disfuncion ovarica, no especificada
2120	E29	Disfuncion testicular
2121	E290	Hiperfuncion testicular
2122	E291	Hipofuncion testicular
2123	E298	Otras disfunciones testiculares
2124	E299	Disfuncion testicular, no especificada
2125	E30	Trastornos de la pubertad no clasificadas en otra parte
2126	E300	Pubertad retardada
2127	E301	Pubertad precoz
2128	E308	Otros trastornos de la pubertad
2129	E309	Trastorno de la pubertad, no especificado
2130	E31	Disfuncion poliglandular
2131	E310	Insuficiencia piloglandular autoinmune
2132	E311	Hiperfuncion poliglandular
2133	E318	Otras disfunciones poliglandulares
2134	E319	Disfuncion poliglandular, no especificada
2135	E32	Enfermedades del timo
2136	E320	Hiperplasia persistente del timo
2137	E321	Absceso del timo
2138	E328	Otras enfermedades del timo
2139	E329	Enfermedad del timo, no especificada
2140	E34	Otros trastornos endocrinos
2141	E340	Sindrome carcinoide
2142	E341	Otras hipersecreciones de hormonas intestinales
2143	E342	Secrecion hormonal ectopica, no clasificada en otra parte
2144	E343	Enanismo, no clasificado en otra parte
2145	E344	Estatura alta constitucional
2146	E345	Sindrome de resistencia androgenica
2147	E348	Otros trastornos endocrinos especificados
2148	E349	Trastorno endocrino, no especificado
2149	E35	Trastornos endocrinos en enfermedades clasificados en otra parte
2150	E350	Trastornos de la glandula tiroides en enfermedades clasificadas en otra parte
2151	E351	Trastornos de la glandulas suprarrenales en enfermedades clasificadas en otra parte
2152	E358	Trastornos de otras glandulas endocrinas en enfermedades clasificadas en otra parte
2153	E40	Kwashiorkor
2154	E41	Marasmo nutricional
2155	E42	Kwashiorkor marasmatico
2156	E43	Desnutricion protcalorica severa no especificada
2157	E44	Desnutricion protcalorica de grado moderado y leve
2158	E440	Desnutricion proteicocalorica moderada
2159	E441	Desnutricion proteicocalorica leve
2160	E45	Retardo del desarrollo debidas a desnutricion protcalorico
2161	E46	Desnutricion protcalorica no especificada
2162	E50	Deficiencia de vitamina a
2163	E500	Deficiencia de vitamina a con xerosis conjuntival
2164	E501	Deficiencia de vitamina a con mancha de bitot y xerosis conjuntival
2165	E502	Deficiencia de vitamina a con xerosis corneal
2166	E503	Deficiencia de vitamina a con ulceracion corneal y xerosis
2167	E504	Deficiencia de vitamina a con queratomalacia
2168	E505	Deficiencia de vitamina a con ceguera nocturna
2169	E506	Deficiencia de vitamina a con cicatrices xeroftalmicas de la cornea
2170	E507	Otras manifestaciones oculares de deficiencia de vitamina a
2171	E508	Otras manifestaciones de deficiencia de vitamina a
2172	E509	Deficiencia de vitamina a, no especificada
2173	E51	Deficiencia de tiamina
2174	E511	Beriberi
2175	E512	Encefalopatia de wernicke
2176	E518	Otras manifestaciones de la deficiencia de tiamina
2177	E519	Deficiencia de tiamina, no especificada
2178	E52	Deficiencia de niacina
2179	E53	Deficiencia de otras vitaminas del grupo b
2180	E530	Deficiencia de riboflavina
2181	E531	Deficiencia de piridoxina
2182	E538	Deficiencia de otras vitaminas del grupo b
2183	E539	Deficiencia de vitamina b, no especificada
2184	E54	Deficiencia de acido ascorbico
2185	E55	Deficiencia de vitamina d
2186	E550	Raquitismo activo
2187	E559	Deficiencia de vitamina d, no especificada
2188	E56	Otras deficiencias de vitaminas
2189	E560	Deficiencia de vitamina e
2190	E561	Deficiencia de vitamina k
2191	E568	Deficiencia de otras vitaminas
2192	E569	Deficiencia de vitamina, no especificada
2193	E58	Deficiencia dietetica de calcio
2194	E59	Deficiencia dietetica de selenio
2195	E60	Deficiencia dietetica de zinc
2196	E61	Deficiencia de otros elementos nutricionales
2197	E610	Deficiencia de cobre
2198	E611	Deficiencia de hierro
2199	E612	Deficiencia de magnesio
2200	E613	Deficiencia de manganeso
2201	E614	Deficiencia de cromo
2202	E615	Deficiencia de molibdeno
2203	E616	Deficiencia de vanadio
2204	E617	Deficiencia de multiples elementos nutricionales
2205	E618	Deficiencia de otros elementos nutricionales especificados
2206	E619	Deficiencia de otro elemento nutricional, no especificado
2207	E63	Otras deficiencias nutricionales
2208	E630	Deficiencia de acidos grasos esenciales [age]
2209	E631	Desequilibrio de los constituyentes en la dieta
2210	E638	Otras deficiencias nutricionales especificadas
2211	E639	Deficiencia nutricional, no especificada
2212	E64	Secuelas de la desnutricion y otras deficiencias nutricionales
2213	E640	Secuelas de la desnutricion proteicocalorica
2214	E641	Secuelas de la deficiencia de vitamina a
2215	E642	Secuelas de la deficiencia de vitamina c
2216	E643	Secuelas del raquitismo
2217	E648	Secuelas de otras deficiencias nutricionales
2218	E649	Secuelas de la deficiencia nutricional no especificada
2219	E65	Adiposidad localizada
2220	E66	Obesidad
2221	E660	Obesidad debida a exceso de calorias
2222	E661	Obesidad inducida por drogas
2223	E662	Obesidad extrema con hipoventilacion alveolar
2224	E668	Otros tipos de obesidad
2225	E669	Obesidad, no especificada
2226	E67	Otros tipos de hiperalimentacion
2227	E670	Hipervitaminosis a
2228	E671	Hipercarotinemia
2229	E672	Sindrome de megavitamina b6
2230	E673	Hipervitaminosis d
2231	E678	Otros tipos de hiperalimentacion especificados
2232	E68	Secuelas de hiperalimentacion
2233	E70	Trastornos del metabolismo de los aminoacidos aromaticos
2234	E700	Fenilcetonuria clasica
2235	E701	Otras hiperfenilalaninemias
2236	E702	Trastornos del metabolismo de la tirosina
2237	E703	Albinismo
2238	E708	Otros trastornos del metabolismo de los aminoacidos aromaticos
2239	E709	Trastorno del metabolismo de los aminoacidos aromaticos, no especificado
2240	E71	Trastornos del metabolismo de los aminoacidos de cadena ramificada y de los acidos grasos
2241	E710	Enfermedad de la orina en jarabe de arce
2242	E711	Otros trastornos del metabolismo de los aminoacidos de cadena ramificada
2243	E712	Otros trastornos del metabolismo de los aminoacidos de cadena ramificada, no especificados
2244	E713	Trastornos del metabolismo de los acidos grasos
2245	E72	Otros trastornos del metabolismo de los aminoacidos
2246	E720	Trastornos del transporte de los aminoacidos
2247	E721	Trastorno del metabolismo de los aminoacidos azufrados
2248	E722	Trastornos del metabolismo del ciclo de la urea
2249	E723	Trastornos del metabolismo de la lisina y la hidroxilisina
2250	E724	Trastorno del metabolismo de la ornitina
2251	E725	Trastorno del metabolismo de la glicina
2252	E728	Otros trastornos especificados del metabolismo de los aminoacidos
2253	E729	Trastorno del metabolismo de los aminoacidos, no especificado
2254	E73	Intolerancia a la lactosa
2255	E730	Deficiencia congenita de lactasa
2256	E731	Deficiencia secundaria de lactasa
2257	E738	Otros tipos de intolerancia a la lactosa
2258	E739	Intolerancia a la lactosa, no especificada
2259	E74	Otros trastornos del metabolismo de los carbohidratos
2260	E740	Enfermedad del almacenamiento de glucogeno
2261	E741	Trastornos del metabolismo de la fructosa
2262	E742	Trastorno del metabolismo de la galactosa
2263	E743	Otros trastornos de la absorcion intestinal de carbohidratos
2264	E744	Trastornos del metabolismo del piruvato y de las gluconeogenesis
2265	E748	Otros trastornos especificados del metabolismo de los carbohidratos
2266	E749	Trastorno del metabolismo de los carbohidratos, no especificado
2267	E75	Trastornos del metabolismo de los esfingolipidos y otros trastornos por almacenamiento de lipidos
2268	E750	Gangliosidosis gm2
2269	E751	Otras gangliosidosis
2270	E752	Otras esfingolipidosis
2271	E753	Esfingolipidosis, no especificada
2272	E754	Lipofuscinosis ceroide neuronal
2273	E755	Otros trastornos del almacenamiento de lipidos
2274	E756	Trastornos de almacenamiento de lipidos, no especificado
2275	E76	Trastornos del metabolismo de los glucosaminoglicanos
2276	E760	Mucopolisacaridosis tipo i
2277	E761	Mucopolisacaridosis tipo ii
2278	E762	Otras mucopolisacaridosis
2279	E763	Mucopolisacaridosis no especificada
2280	E768	Otro trastornos del metabolismo de los glucosaminoglicanos
2281	E769	Trastorno del metabolismo de los glucosaminoglicanos, no especificado
2282	E77	Trastornos del metabolismo de las glucoproteinas
2283	E770	Defectos en la modificacion postraslacional de enzimas lisosomales
2284	E771	Defectos de la degradacion de glucoproteinas
2285	E778	Otros trastornos del metabolismo de las glucoproteinas
2286	E779	Trastorno del metabolismo de las glucoproteinas, no especificado
2287	E78	Trastornosdel metabolismo de las lipoproteinas y otras lipidemias
2288	E780	Hipercolesterolemia pura
2289	E781	Hipergliceridemia pura
2290	E782	Hiperlipidemia mixta
2291	E783	Hiperquilomicronemia
2292	E784	Otra hiperlipidemia
2293	E785	Hiperlipidemia no especificada
2294	E786	Deficiencia de lipoproteinas
2295	E788	Otros trastornos del metabolismo de las lipoproteinas
2296	E789	Trastorno del metabolismo de las lipoproteinas, no especificado
2297	E79	Trastornos del metabolismo de las purinas y de las pirimidinas
2298	E790	Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofacea
2299	E791	Sindrome de lesch
2300	E798	Otros trastornos del metabolismo de las purinas y de las pirimidinas
2301	E799	Trastornos del metabolismo de las purinas y de las pirimidinas, no especificado
2302	E80	Trastornos del metabolismo de las porfirinas y de la bilirrubina
2303	E800	Porfiria eritropoyetica hereditaria
2304	E801	Porfiria cutanea tardia
2305	E802	Otras porfirias
2306	E803	Defectos de catalasa y peroxidasa
2307	E804	Sindrome de gilbert
2308	E805	Sindrome de crigler
2309	E806	Otros trastornos del metabolismo de la bilirrubina
2310	E807	Trastornos del metabolismo de la bilirrubina, no especificado
2311	E83	Trastornos del metabolismo de los minerales
2312	E830	Trastornos del metabolismo del cobre
2313	E831	Trastornos del metabolismo del hierro
2314	E832	Trastornos del metabolismo del zinc
2315	E833	Trastornos del metabolismo del fosforo
2316	E834	Trastornos del metabolismo del magnesio
2317	E835	Trastornos del metabolismo del calcio
2318	E838	Otros trastornos del metabolismo de los minerales
2319	E839	Trastorno del metabolismo de los minerales, no especificado
2320	E84	Fibrosis quistica
2321	E840	Fibrosis quistica con manifestaciones pulmonares
2322	E841	Fibrosis quistica con manifestaciones intestinales
2323	E848	Fibrosis quistica con otras manifestaciones
2324	E849	Fibrosis quistica, sin otra especificacion
2325	E85	Amiloidosis
2326	E850	Amiloidosis heredofamiliar no neuropatica
2327	E851	Amiloidosis heredofamiliar neuropatica
2328	E852	Amiloidosis heredofamiliar, no especificada
2329	E853	Amiloidosis sistemica secundaria
2330	E854	Amiloidosis limitada a un organo
2331	E858	Otras amiloidosis
2332	E859	Amiloidosis, no especificada
2333	E86	Deplecion del volumen
2334	E87	Otros trastornos de los liquidos, de los electrolitos y del equilibrio acido
2335	E870	Hiperosmolaridad e hipernatremia
2336	E871	Hiposmolaridad e hipernatremia
2337	E872	Acidosis
2338	E873	Alcalosis
2339	E874	Trastornos mixtos del balance acido
2340	E875	Hiperpotasemia
2341	E876	Hipopotasmia
2342	E877	Sobrecarga de liquidos
2343	E878	Otros trastornos del equilibrio de los electrolitos y de los liquidos, no clasificados en otra parte
2344	E88	Otros trastornos metabolicos
2345	E880	Trastornos del metabolismo de las proteinas plasmaticas, no clasificados en otra parte
2346	E881	Lipodistrofia, no clasificada en otra parte
2347	E882	Lipomatosis, no clasificada en otra parte
2348	E888	Otros trastornos especificados del metabolismo
2349	E889	Trastorno metabolico, no especificado
2350	E89	Trastornos endocrinos metabolicos consecutivos a procedimientos no clasificados en otra parte
2351	E890	Hipotiroidismo consecutivo a procedimientos
2352	E891	Hipoinsulinemia consecutiva a procedimientos
2353	E892	Hipoparatiroidismo consecutivo a procedimientos
2354	E893	Hipopituitarismo consecutivo a procedimientos
2355	E894	Insuficiencia ovarica consecutiva a procedimientos
2356	E895	Hipofuncion testicular consecutiva a procedimientos
2357	E896	Hipofuncion adrenocortical [medula suprarrenal] consecutiva a procedimientos
2358	E898	Otros trastornos metabolicos y endocrinos consecutivo a procedimientos
2359	E899	Trastorno endocrino y metabolico consecutivo a procedimientos, no especificado
2360	E90	Trastornos nutricionales metabolicos en enfermedades clasificadas en otra parte
2361	F00	Demencia en la enfermedad de alzheimer
2362	F000	Demencia en la enfermedad de alzheimer, de comienzo temprano (g30.0)
2363	F001	Demencia en la enfermedad de alzheimer, de comienzo tardio (g30.1)
2364	F002	Demencia en la enfermedad de alzheimer, atipica o de tipo mixto (g30.8)
2365	F009	Demencia en la enfermedad de alzheimer, no especificada (g30.9)
2366	F01	Demencia vascular
2367	F010	Demencia vascular de comienzo agudo
2368	F011	Demencia vascular por infartos multiples
2369	F012	Demencia vascular subcortical
2370	F013	Demencia vascular mixta, cortical y subcortical
2371	F018	Otras demencias vasculares
2372	F019	Demencia vascular, no especificada
2373	F02	Demencia en otras enfermedades clasificadas otra parte
2374	F020	Demencia en la enfermedad de pick (g31.0)
2375	F021	Demencia en la enfermedad de creutzfeldt
2376	F022	Demencia en la enfermedad de huntington (g10)
2377	F023	Demencia en la enfermedad de parkinson (g20)
2378	F024	Demencia en la enfermedad por virus de la inmunodeficiencia humana [vih] (b22.0)
2379	F028	Demencia en otras enfermedades especificadas clasificadas en otra parte
2380	F03	Demencia no especificada
2381	F04	Sindrome amnesico organico, no inducido por el alcohol o por otras sustancias psicoactivas
2382	F05	Delirio, no inducido por el alcohol o por otras sustancias psicoactivas
2383	F050	Delirio no superpuesto a un cuadro de demencia, asi descrito
2384	F051	Delirio superpuesto a un cuadro de demencia
2385	F058	Otros delirios
2386	F059	Delirio, no especificado
2387	F06	Otros trastornos mentales debidos a lesion y disfuncion cerebral, y a enfermedad fisica
2388	F060	Alucinosis organica
2389	F061	Trastorno catatonico, organico
2390	F062	Trastorno delirante [esquizofreniforme], organico
2391	F063	Trastornos del humor [afectivos], organicos
2392	F064	Trastorno de ansiedad, organico
2393	F065	Trastorno disociativo, organico
2394	F066	Trastorno de labilidad emocional [astenico], organico
2395	F067	Trastorno cognoscitivo leve
2396	F068	Otros trastornos mentales especificados debidos a lesion y disfuncion cerebral y a enfermedad fisica
2397	F069	Trastorno mental no especificado debido a lesion y disfuncion cerebral y a enfermedad fisica
2398	F07	Trastornos de la personalidad y del comportamiento debidos a enfermedad, lesion o disfuncion cerebral
2399	F070	Trastorno de la personalidad, organico
2400	F071	Sindrome postencefalitico
2401	F072	Sindrome postconcusional
2402	F078	Otros trastornos organicos de la personalidad y del comportamiento debidos a enfermedad, lesion y disfuncion cerebrales
2403	F079	Trastorno organico de la personalidad y del comportamiento, no especificado, debido a enfermedad, lesion y disfuncion cerebral
2404	F09	Trastorno mental organico o sintomatico, no especificado
2405	F10	Trastornos mentales y del comportamiento debidos al uso del alcohol
2406	F100	Trastornos mentales y del comportamiento debidos al uso del alcohol: intoxicacion aguda
2407	F101	Trastornos mentales y del comportamiento debidos al uso del alcohol: uso nocivo
2408	F102	Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia
2409	F103	Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia
2410	F104	Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia con delirio
2411	F105	Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno psicotico
2412	F106	Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome amnesico
2413	F107	Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno psicotico residual y de comienzo tardio
2414	F108	Trastornos mentales y del comportamiento debidos al uso del alcohol: otros trastornos mentales y del comportamiento
2415	F109	Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno mental y del comportamiento, no especificado
2416	F11	Trastornos mentales y del comportamiento debidos al uso de opiaceos
2417	F110	Trastornos mentales y del comportamiento debidos al uso de opiaceos: intoxicacion aguda
2418	F111	Trastornos mentales y del comportamiento debidos al uso de opiaceos: uso nocivo
2419	F112	Trastornos mentales y del comportamiento debidos al uso de opiaceos: sindrome de dependencia
2420	F113	Trastornos mentales y del comportamiento debidos al uso de opiaceos: estado de abstinencia
2421	F114	Trastornos mentales y del comportamiento debidos al uso de opiaceos: estado de abstinencia con delirio
2422	F115	Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno psicotico
2423	F116	Trastornos mentales y del comportamiento debidos al uso de opiaceos: sindrome amnesico
2424	F117	Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno psicotico residual y de comienzo tardio
2425	F118	Trastornos mentales y del comportamiento debidos al uso de opiaceos: otros trastornos mentales y del comportamiento
2426	F119	Trastornos mentales y del comportamiento debidos al uso de opiaceos: trastorno mental y del comportamiento, no especificado
2427	F12	Trastornos mentales y del comportamiento debidos al uso de cannabinoides
2428	F120	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: intoxicacion aguda
2429	F121	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: uso nocivo
2430	F122	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: sindrome de dependencia
2431	F123	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: estado de abstinencia
2432	F124	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: estado de abstinencia con delirio
2433	F125	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno psicotico
2434	F126	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: sindrome amnesico
2435	F127	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno psicotico residual y de comienzo tardio
2436	F128	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: otros trastornos mentales y del comportamiento
2437	F129	Trastornos mentales y del comportamiento debidos al uso de cannabinoides: trastorno mental y del comportamiento, no especificado
2438	F13	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos
2439	F130	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda
2440	F131	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: uso nocivo
2441	F132	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: sindrome de dependencia
2442	F133	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: estado de abstinencia
2443	F134	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: estado de abstinencia con delirio
2444	F135	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno psicotico
2445	F136	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: sindrome amnesico
2446	F137	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno psicotico residual y de comienzo tardio
2447	F138	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: otros trastornos mentales y del comportamiento
2448	F139	Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: trastorno mental y del comportamiento, no especificado
2449	F14	Trastornos mentales y del comportamiento debidos al uso de cocaina
2450	F140	Trastornos mentales y del comportamiento debidos al uso de cocaina: intoxicacion aguda
2451	F141	Trastornos mentales y del comportamiento debidos al uso de cocaina: uso nocivo
2452	F142	Trastornos mentales y del comportamiento debidos al uso de cocaina: sindrome de dependencia
2453	F143	Trastornos mentales y del comportamiento debidos al uso de cocaina: estado de abstinencia
2454	F144	Trastornos mentales y del comportamiento debidos al uso de cocaina: estado de abstinencia con delirio
2455	F145	Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno psicotico
2456	F146	Trastornos mentales y del comportamiento debidos al uso de cocaina: sindrome amnesico
2457	F147	Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno psicotico residual y de comienzo tardio
2458	F148	Trastornos mentales y del comportamiento debidos al uso de cocaina: otros trastornos mentales y del comportamiento
2459	F149	Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno mental y del comportamiento, no especificado
2460	F15	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes
2461	F150	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: intoxicacion aguda
2462	F151	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: uso nocivo
2463	F152	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: sindrome de dependencia
2464	F153	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: estado de abstinencia
2465	F154	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina:. estado de abstinencia con delirio
2466	F155	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: trastorno psicotico
2467	F156	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: sindrome amnesico
2468	F157	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: trastorno psicotico residual y de comienzo tardio
2469	F158	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: otros trastornos mentales y del comportamiento
2470	F159	Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeina: trastorno mental y del comportamiento, no especificado
2471	F16	Trastornos mentales y del comportamiento debidos al uso de alucinogenos
2472	F160	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: intoxicacion aguda
2473	F161	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: uso nocivo
2474	F162	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome de dependencia
2475	F163	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: estado de abstinencia
2476	F164	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: estado de abstinencia con delirio
2477	F165	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno psicotico
2478	F166	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: sindrome amnesico
2479	F167	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno psicotico residual y de comienzo tardio
2480	F168	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: otros trastornos mentales y del comportamiento
2481	F169	Trastornos mentales y del comportamiento debidos al uso de alucinogenos: trastorno mental y del comportamiento, no especificado
2482	F17	Trastornos mentales y del comportamiento debidos al uso del tabaco
2483	F170	Trastornos mentales y del comportamiento debidos al uso de tabaco: intoxicacion aguda
2484	F171	Trastornos mentales y del comportamiento debidos al uso de tabaco: uso nocivo
2485	F172	Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome de dependencia
2486	F173	Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia
2487	F174	Trastornos mentales y del comportamiento debidos al uso de tabaco: estado de abstinencia con delirio
2488	F175	Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico
2489	F176	Trastornos mentales y del comportamiento debidos al uso de tabaco: sindrome amnesico
2490	F177	Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno psicotico residual y de comienzo tardio
2491	F178	Trastornos mentales y del comportamiento debidos al uso de tabaco: otros trastornos mentales y del comportamiento
2492	F179	Trastornos mentales y del comportamiento debidos al uso de tabaco: trastorno mental y del comportamiento, no especificado
2493	F18	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles
2494	F180	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: intoxicacion aguda
2495	F181	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: uso nocivo
2496	F182	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome de dependencia
2497	F183	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia
2498	F184	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: estado de abstinencia con delirio
2499	F185	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico
2500	F186	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: sindrome amnesico
2501	F187	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno psicotico residual y de comienzo tardio
2502	F188	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: otros trastornos mentales y del comportamiento
2503	F189	Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: trastorno mental y del comportamiento, no especificado
2504	F19	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas
2505	F190	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: intoxicacion aguda
2506	F191	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: uso nocivo
2507	F192	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia
2508	F193	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia
2509	F194	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: estado de abstinencia con delirio
2510	F195	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico
2511	F196	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome amnesico
2512	F197	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno psicotico residual y de comienzo tardio
2513	F198	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: otros trastornos mentales y del comportamiento
2514	F199	Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: trastorno mental y del comportamiento, no especificado
2515	F20	Esquizofrenia
2516	F200	Esquizofrenia paranoide
2517	F201	Esquizofrenia hebefrenica
2518	F202	Esquizofrenia catatonica
2519	F203	Esquizofrenia indiferenciada
2520	F204	Depresion postesquizofrenica
2521	F205	Esquizofrenia residual
2522	F206	Esquizofrenia simple
2523	F208	Otras esquizofrenias
2524	F209	Esquizofrenia, no especificada
2525	F21	Trastorno esquizotipico
2526	F22	Trastornos delirantes persistentes
2527	F220	Trastorno delirante
2528	F228	Otros trastornos delirantes persistentes
2529	F229	Trastorno delirante persistente, no especificado
2530	F23	Trastornos psicoticos agudos y transitorios
2531	F230	Trastorno psicotico agudo polimorfo, sin sintomas de esquizofrenia
2532	F231	Trastorno psicotico agudo polimorfo, con sintomas de esquizofrenia
2533	F232	Trastorno psicotico agudo de tipo esquizofrenico
2534	F233	Otro trastorno psicotico agudo, con predominio de ideas delirantes
2535	F238	Otros trastornos psicoticos agudos y transitorios
2536	F239	Trastorno psicotico agudo y transitorio, no especificado de tipo esquizofrenico
2537	F24	Trastorno delirante inducido
2538	F25	Trastornos esquizoafectanivos
2539	F250	Trastorno esquizoafectivo de tipo maniaco
2540	F251	Trastorno esquizoafectivo de tipo depresivo
2541	F252	Trastorno esquizoafectivo de tipo mixto
2542	F258	Otros trastornos esquizoafectivos
2543	F259	Trastorno esquizoafectivo, no especificado
2544	F28	Otros trastornos psicoticos de origen no organico
2545	F29	Psicosis de origen no organico, no especificada
2546	F30	Episodio maniaco
2547	F300	Hpomania
2548	F301	Mania sin sintomas psicoticos
